collection_no,collection.authorizer,license,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,occurrence_no,pubyr,type_specimen,type_body_part,collection.reference_no,10_my_bin,environment
121473,M. Clapham,CC BY,,Ceutorhynchus,n. sp.,obliquus,,,,,1000255,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Plecia,,foersteri,,Plecia,cf.,stygia,1000338,1937,Marseilles Museum C84,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Solenopsis,n. sp.,blanda,,Attopsis,n. sp.,acuta,1000331,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Eusarcoris,n. sp.,humilis,,,,,1000366,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Apion,n. sp.,parvum,,,,,1000259,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Heterogaster,,sundgoviensis,,Heterogaster,,troglodytes,1000376,1937,Coll Mieg R 19,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Galerucella,n. sp.,affinis,,,,,1000284,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Plecia,informal,sp. 1,,,,,1000335,1823,,,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Pentatoma,n. sp.,rigosum,,,,,1000371,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Smicronyx,n. sp.,antiquus,,,,,1000263,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Aphrophora,n. sp.,pulchra,,,,,1000378,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Cydnus,n. sp.,armiger,,Cydnus,n. sp.,scutatus,1000354,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Cydnus,cf.,atavinus,,,,,1000357,1853,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Harpalus,n. sp.,obtusus,,,,,1000250,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Camponotus,n. sp.,vehemens,,Camponotus,n. sp.,miserabilis,1000324,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Cydnus,n. sp.,brevicrassus,,,,,1000361,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Escheria,n. sp.,dimidiata,,,,,1000254,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Plecia,,luctuosa,,Plecia,cf.,grossa,1000337,1865,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Solenopsis,n. sp.,blanda,,Attopsis,n. sp.,blanda,1000330,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Eusarcoris,cf.,prodromus,,,,,1000365,1853,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Pseudocistela,n. sp.,gracilis,,,,,1000258,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Aphanus,,contractus,,Pachymerus,,dryadum,1000374,1937,Bale Museum R 929(951),exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Psylliodes,n. sp.,difficilis,,Haltica,n. sp.,difficilis,1000283,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Plecia,cf.,rhenana,,,,,1000334,1865,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Pentatoma,n. sp.,venosum,,,,,1000370,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Urodon,n. sp.,cinctus,,,,,1000262,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,?,Empis,,macrophthalma,,,,,1000340,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Heterogaster,n. sp.,famosus,,,,,1000377,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Cydnus,cf.,brevicollis,,,,,1000353,1853,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Blatta,n. sp.,sundgaviensis,,,,,1000380,1891,,tegmen,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Cydnus,n. sp.,parvus,,,,,1000356,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Amara,n. sp.,procera,,,,,1000249,1891,,elytra,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Chrysis,n. sp.,amoena,,,,,1000323,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Cydnus,n. sp.,acriscutatus,,,,,1000360,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Copelatus,n. sp.,convexus,,Escheria,n. sp.,convexa,1000253,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Solenopsis,,alena,,Attopsis,n. sp.,privata,1000329,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Dolichoderus,n. sp.,explicans,,Hypoclinea,n. sp.,explicans,1000327,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Eusarcoris,cf.,pinguis,,,,,1000364,1853,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Anthaxia,n. sp.,beneckei,,,,,1000257,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Heterogaster,cf.,radobojanus,?,Lygaeus,n. sp.,gracilentus,1000373,1853,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Agelasa,n. sp.,sessilis,,,,,1000282,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Tipula,informal,sp. 2,,,,,1000333,1758,,,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Pentatoma,n. sp.,fatale,,,,,1000368,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Ceutorhynchus,n. sp.,crassirostris,,,,,1000261,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Plecia,informal,sp. 2,,,,,1000339,1823,,,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Pachymerus,n. sp.,detectus,,,,,1000375,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Eurygaster,n. sp.,granulosus,,,,,1000352,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Cydnus,,solutus,,,,,1000355,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Amara,n. sp.,sinuata,,,,,1000248,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Cydnus,n. sp.,maximus,,,,,1000359,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Bembidium,n. sp.,laevigatum,,,,,1000252,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Solenopsis,,superba,,Attopsis,cf.,longipennis,1000328,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Oecophylla,n. sp.,praeclara,,,,,1000326,1891,,forewing,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Brachypelta,n. sp.,retrita,,,,,1000363,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Meligethes,n. sp.,detractus,,,,,1000256,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Eurydema,,retrorsum,,Pentatoma,n. sp.,punctatum,1000369,1937,Bale Museum R 912(933),exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Tipula,informal,sp. 1,,,,,1000332,1758,,,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Eusarcoris,n. sp.,nuda,,,,,1000367,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Larinus,n. sp.,longirostris,,,,,1000260,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Chilocorus,n. sp.,foersteri,,Chilocorus,n. sp.,politus,1000285,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Penthetria,cf.,pallida,,Plecia,cf.,pallida,1000336,1870,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,?,Eusarcoris,n. sp.,mammillata,?,Arma,n. sp.,contusa,1000372,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121473,M. Clapham,CC BY,,Aphrophora,n. sp.,pulchra,,Aphrophora,n. sp.,antiqua,1000379,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Bagous,n. sp.,bicolor,,,,,1000407,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Penthetria,cf.,bucklandi,,Plecia,cf.,bucklandi,1000292,1849,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Cydnus,,armiger,,,,,1000382,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Oxytelus,n. sp.,ominosus,,,,,1000227,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Plecia,,splendida,,Plecia,cf.,exposititia,1000294,1937,Marseilles Museum C80,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Tetanocera,n. sp.,preciosa,,,,,1000297,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Cydnus,n. sp.,dignus,,,,,1000386,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Apion,n. sp.,levirostre,,,,,1000231,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Eusarcoris,n. sp.,mammillata,,,,,1000390,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Gymnetron,n. sp.,rotundicolle,,,,,1000235,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Chilocorus,n. sp.,inflatus,,,,,1000280,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Bracon,,praeteritus,,,,,1000288,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,?,Simulium,n. sp.,terribilis,,,,,1000291,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Tetanocera,n. sp.,contenta,,,,,1000381,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Stenus,n. sp.,ornatus,,,,,1000226,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Phytomyza,n. sp.,pusilla,,Anthomyia,n. sp.,pusilla,1000296,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Cydnus,cf.,sagittifer,,,,,1000385,1853,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Bruchus,n. sp.,crassus,,,,,1000230,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Cydnus,,tertiarius,,,,,1000389,1853,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Ceutorhynchus,n. sp.,fischeri,,,,,1000234,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Chrysochloa,n. sp.,pulchra,,Oreina,n. sp.,pulchra,1000279,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,?,Deltocephalus,n. sp.,minutulus,,,,,1000393,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Curculionites,cf.,lividus,,,,,1000238,1856,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Solenopsis,,valida,,Attopsis,,valida,1000287,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Harpalus,n. sp.,excavatus,,,,,1000225,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Dolichopus,n. sp.,miluus,,,,,1000295,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Cydnus,cf.,pygmaeus,,,,,1000384,1853,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Caenocara,cf.,bovistae,,Dorcatoma,cf.,bovistae,1000229,1803,,,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Cydnus,,solutus,,,,,1000388,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,?,Cryptorhynchus,n. sp.,incertus,,,,,1000233,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Altica,n. sp.,magna,,Haltica,n. sp.,magna,1000278,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Aphrophora,,pinguicula,,,,,1000392,1853,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Bagous,n. sp.,palintonus,,,,,1000237,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Solenopsis,n. sp.,superba,,Attopsis,n. sp.,superba,1000286,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Mycetophilites,,sp.,,,,,1000290,1891,,,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Plecia,cf.,grossa,,,,,1000293,1865,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Cydnus,n. sp.,armiger,,Cydnus,n. sp.,obsoletus,1000383,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Malthodes,n. sp.,obtusus,,,,,1000228,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Cydnus,n. sp.,dignus,,Cydnus,n. sp.,ornatissimus,1000387,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Protainophthalmus,,asperulus,,Cleonus,,asperulus,1000232,1856,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Hylesinus,n. sp.,lineatus,,,,,1000277,1891,,elytra,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,?,Acanthosoma,n. sp.,debile,,,,,1000391,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,cf.,Pissodes,n. sp.,planatus,,,,,1000236,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,,Aphidecta,n. sp.,marginata,,Adalia,n. sp.,marginata,1000281,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121474,M. Clapham,CC BY,cf.,Leia,n. sp.,crassiuscula,cf.,Glaphyroptera,n. sp.,crassiuscula,1000289,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121475,M. Clapham,CC BY,?,Oxytelus,n. sp.,levis,,,,,1000239,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121475,M. Clapham,CC BY,,Plecia,cf.,rubescens,,,,,1000342,1870,,,38738,Cenozoic 4,lacustrine - large
121475,M. Clapham,CC BY,,Baridium,n. sp.,naviculare,,,,,1000242,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121475,M. Clapham,CC BY,,Cydnus,,tertiarius,,,,,1000406,1853,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121475,M. Clapham,CC BY,,Tychius,n. sp.,latus,,,,,1000241,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121475,M. Clapham,CC BY,,Cydnus,,armiger,,,,,1000405,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121475,M. Clapham,CC BY,,Aphanus,,pulchellus,,Pachymerus,,dryadum,1000408,1853,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121475,M. Clapham,CC BY,,Apion,n. sp.,sulcatum,,,,,1000240,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Syrphus,cf.,freyeri,,,,,1000321,1849,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Penthetria,,inflata,,Plecia,cf.,lygaeoides,1000316,1849,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Scymnus,n. sp.,angulatus,,,,,1000276,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Solenopsis,n. sp.,moesta,,Attopsis,n. sp.,moesta,1000302,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Cydnus,,armiger,,,,,1000394,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Oligonila,n. sp.,defectuosa,,,,,1005427,1937,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Leia,n. sp.,gracillima,,Glaphyroptera,n. sp.,gracillima,1000312,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Cixius,cf.,vitreus,,,,,1000401,1856,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Escheria,n. sp.,punctulata,,,,,1000243,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Ptyelus,,marcatus,,Cercopis,,sp.,1000402,1937,Bale Museum R 902,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Plecia,cf.,rhenana,,,,,1000317,1865,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Plecia,n. sp.,gracillima,,,,,1000320,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Rhymosia,,foersteri,,Boletina,cf.,meigeniana,1000311,1937,Bale Museum R 1024,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Altica,n. sp.,dubia,,Haltica,n. sp.,dubia,1000275,1891,,elytra,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Solenopsis,n. sp.,superba,,Attopsis,n. sp.,extensa,1000301,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Solenopsis,,valida,,Attopsis,,valida,1000306,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Dolerus,n. sp.,tenax,,,,,1000310,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Diniella,,fasciata,,Pachymerus,,fasciatus,1000398,1853,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,n. gen.,Oligonila,n. sp.,foersteri,,Cixius,cf.,loculatus,1000400,1937,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Allodia,cf.,nigritella,,Epicypta,cf.,nigritella,1000315,1849,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Bruchus,cf.,pisi,,,,,1000246,1767,,,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Plecia,cf.,lapidaria,,,,,1000319,1865,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Solenopsis,,superba,,Attopsis,cf.,longipes,1000303,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Donacia,n. sp.,disjecta,,,,,1000274,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Camponotus,n. sp.,vehemens,,,,,1000299,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Solenopsis,n. sp.,maxima,,Attopsis,n. sp.,maxima,1000305,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Torymus,n. sp.,pertinax,,,,,1000309,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Aphanus,,pulchellus,,Pachymerus,,pulchellus,1000397,1853,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Nabis,,maculata,,Harpactor,cf.,gracilis,1000399,1853,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Allodia,,pallipes,,Epicypta,,pallipes,1000314,1856,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Olibrus,n. sp.,ornatus,,,,,1000245,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Plecia,cf.,grossa,,,,,1000318,1865,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Solenopsis,,superba,,Attopsis,cf.,longipennis,1000300,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Syrphus,n. sp.,reciprocus,,,,,1000322,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Mutilla,n. sp.,tenera,,,,,1000298,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Cataulacus,cf.,anthracinus,,Attopsis,cf.,nigra,1000304,1849,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Bracon,,praeteritus,,,,,1000308,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Cydnus,n. sp.,cinctus,,,,,1000395,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Aphanus,,contractus,?,Lygaeus,n. sp.,gratiosus,1000396,1937,Bale Museum R 929(951),exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Leia,n. sp.,longipes,,Glaphyroptera,n. sp.,longipes,1000313,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Aphrophora,n. sp.,dimidia,,,,,1000403,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121476,M. Clapham,CC BY,,Escheria,n. sp.,crassipunctata,,,,,1000244,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121477,M. Clapham,CC BY,,Apion,cf.,primordiale,,,,,1000265,1866,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121478,M. Clapham,CC BY,,Phyllobius,n. sp.,pulchella,,Lema,n. sp.,pulchella,1000266,1891,,elytra,38738,Cenozoic 4,lacustrine - large
121479,M. Clapham,CC BY,,Cassida,n. sp.,kramstae,,,,,1000267,1891,,exoskeleton,38738,Cenozoic 4,lacustrine - large
121480,M. Clapham,CC BY,,Geranchon,n. sp.,petrorum,,Lachnus,n. sp.,petrorum,1003200,1877,Dawson coll 19,wing,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Sbenaphis,n. sp.,quesneli,,Lachnus,n. sp.,quesneli,1000271,1878,34a,exoskeleton,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Lonchaea,n. sp.,senescens,,,,,1003653,1877,GSC 17,exoskeleton,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Aphaenogaster,n. sp.,longaeva,,,,,1002924,1877,GSC 33,exoskeleton,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Boletina,n. sp.,sepulta,,,,,1003687,1877,GSC 9b,exoskeleton,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Pimpla,n. sp.,senecta,,,,,1002928,1877,GSC 10b(12),forewing,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Teleoschistus,n. sp.,antiquus,,Euschistus,n. sp.,antiquus,1000270,1878,38,exoskeleton,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Dolichoderus,n. sp.,obliteratus,,Hypoclinea,n. sp.,obliterata,1002911,1877,GSC 8,wing,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Brachypeza,n. sp.,procera,,,,,1003686,1877,GSC 4,exoskeleton,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Pimpla,n. sp.,decessa,,,,,1002927,1877,GSC 9a,exoskeleton,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Anthomyia,n. sp.,burgessi,,,,,1003664,1877,GSC 29,exoskeleton,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Dolichopus,,sp.,,,,,1011649,1796,,,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Sciomyza,,revelata,,,,,1000269,1877,GSC 2,wing,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Prometopia,n. sp.,depilis,,,,,1003606,1877,GSC 24,exoskeleton,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,n. gen.,Lithortalis,n. sp.,picta,,,,,1003655,1877,GSC 5,exoskeleton,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Brachypeza,n. sp.,abita,,,,,1003685,1877,GSC 3(16),exoskeleton,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Anthomyia,n. sp.,inanimata,,,,,1003663,1877,GSC 30(32),exoskeleton,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,n. gen.,Calyptites,n. sp.,antediluvianum,,,,,1002934,1877,GSC 7,forewing,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,n. gen.,Bothromicromus,n. sp.,lachlani,,,,,1000272,1878,36(37),exoskeleton,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Palloptera,n. sp.,morticina,,,,,1003654,1877,GSC 20,wing,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Formica,n. sp.,arcana,,,,,1002909,1877,GSC 10a,wing,39765,Cenozoic 4,terrestrial indet.
121480,M. Clapham,CC BY,,Trichonta,n. sp.,dawsoni,,,,,1003684,1877,GSC 6,exoskeleton,39765,Cenozoic 4,terrestrial indet.
